,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
52,Umesh Sharma Kau,RAIPUR,BJP,0,Graduate,"Rs 7,40,97,767 ~ 7 Crore+","Rs 18,22,927 ~ 18 Lacs+ "
53,Khajan Dass,RAJPUR ROAD (SC),BJP,0,8th Pass,"Rs 2,38,12,861 ~ 2 Crore+","Rs 3,42,000 ~ 3 Lacs+ "
54,Diwan Singh Bisht,RAMNAGAR,BJP,0,Post Graduate,"Rs 4,03,61,379 ~ 4 Crore+","Rs 2,80,913 ~ 2 Lacs+ "
55,Pramod Nainwal,RANIKHET,BJP,0,Doctorate,"Rs 5,70,84,260 ~ 5 Crore+","Rs 25,00,000 ~ 25 Lacs+ "
56,Prem Chand Aggarwal,RISHIKESH,BJP,0,Post Graduate,"Rs 5,03,88,527 ~ 5 Crore+",Rs 0 ~  
57,Pradeep Batra,ROORKEE,BJP, 1 ,Post Graduate,"Rs 12,06,50,465 ~ 12 Crore+","Rs 3,96,62,241 ~ 3 Crore+ "
58,Bharat Singh Chaudhary,RUDRAPRAYAG,BJP,0,Graduate,"Rs 2,32,05,421 ~ 2 Crore+","Rs 50,00,000 ~ 50 Lacs+ "
59,Shiv Arora,RUDRAPUR,BJP, 1 ,Graduate,"Rs 10,89,92,600 ~ 10 Crore+","Rs 48,38,013 ~ 48 Lacs+ "
60,Sahdev Singh Pundir,SAHASPUR,BJP,0,Graduate,"Rs 3,32,17,876 ~ 3 Crore+","Rs 26,83,500 ~ 26 Lacs+ "
61,Mahesh Jeena,SALT,BJP, 2 ,Graduate,"Rs 3,32,57,573 ~ 3 Crore+",Rs 0 ~  
62,Saurabh Bahuguna,SITARGANJ,BJP,0,Graduate Professional,"Rs 7,85,95,219 ~ 7 Crore+","Rs 12,54,820 ~ 12 Lacs+ "
63,Rekha Arya,SOMESHWAR (SC),BJP,0,Post Graduate,"Rs 25,20,18,003 ~ 25 Crore+","Rs 82,81,104 ~ 82 Lacs+ "
64,Dr. Dhan Singh Rawat,SRINAGAR,BJP,0,Doctorate,"Rs 2,67,63,303 ~ 2 Crore+",Rs 0 ~  
65,Kishore Upadhyay,TEHRI,BJP,0,Doctorate,"Rs 2,69,27,176 ~ 2 Crore+","Rs 38,68,241 ~ 38 Lacs+ "
66,Bhupal Ram Tamta,THARALI (SC),BJP,0,10th Pass,"Rs 68,99,862 ~ 68 Lacs+","Rs 6,50,000 ~ 6 Lacs+ "
67,Munna Singh Chauhan,VIKASNAGAR,BJP,0,Post Graduate,"Rs 6,03,21,457 ~ 6 Crore+","Rs 1,67,90,497 ~ 1 Crore+ "
68,Renu Bisht,YAMKESHWAR,BJP,0,12th Pass,"Rs 72,40,000 ~ 72 Lacs+",Rs 0 ~  
69,Sanjay Dobhal,YAMUNOTRI,IND, 1 ,12th Pass,"Rs 47,67,228 ~ 47 Lacs+","Rs 70,000 ~ 70 Thou+ "
